Batch,Order,Rep,Population,GH_ID,ILL_No,Cystine,Aspartate,Glutamate,Serine,Histidine,Glycine,Threonine,Methionine,Arginine,Alanine,Valine,Phenylalanine,Isoleucine,Leucine,Lysine,Hydroxyproline,Proline,TotalAA,Cystine_to_TotalAA,Aspartate_to_TotalAA,Glutamate_to_TotalAA,Serine_to_TotalAA,Histidine_to_TotalAA,Glycine_to_TotalAA,Threonine_to_TotalAA,Methionine_to_TotalAA,Arginine_to_TotalAA,Alanine_to_TotalAA,Valine_to_TotalAA,Phenylalanine_to_TotalAA,Isoleucine_to_TotalAA,Leucine_to_TotalAA,Lysine_to_TotalAA,Hydroxyproline_to_TotalAA,Proline_to_TotalAA
1,31,4,GM,G61R2,ILL5626,0.202812915,3.732098038,4.495476682,1.3601312,0.713825156,1.249492461,1.045805303,0.195111739,2.704461475,1.248483357,0.214477703,1.426023856,1.270698509,2.317057531,1.383526931,4.413254004,2.823257113,30.79599397,0.658569148,12.11877766,14.59760216,4.416584836,2.317915624,4.057321423,3.395913455,0.633562077,8.781861295,4.054044685,0.696446762,4.630549861,4.126181185,7.523892663,4.492554883,14.33061069,9.167611591
1,32,2,HT,H141R2,ILL33112,0.228754547,4.072682016,4.300953309,1.339924857,0.722541935,1.282688088,1.060638603,0.208557985,3.069939374,1.273272039,0.213534512,1.400773584,1.249412856,2.273193271,1.684752384,3.227641274,2.573543312,30.18280395,0.757896938,13.49338525,14.2496811,4.439365075,2.393886056,4.249731371,3.514049274,0.690982804,10.17115368,4.218534637,0.707470758,4.640965718,4.139485709,7.531418469,5.581828604,10.69364291,8.526521647
1,33,4,GM,G52R2,ILL5151,0.226406686,3.582163969,4.141381966,1.272237373,0.656738589,1.213935429,1.01602298,0.207538498,2.511825794,1.218863817,0.201769125,1.338733328,1.197366938,2.139953519,1.177871583,3.405667622,2.532813467,28.04129068,0.807404654,12.77460446,14.76887071,4.537014317,2.342041229,4.329099693,3.623310323,0.740117494,8.957596932,4.346675161,0.719542931,4.774150174,4.270013644,7.631437309,4.2004899,12.14518854,9.032442535
1,34,3,GM,G3R1,ILL223,0.217160984,4.03665711,4.357566681,1.387988521,0.722288717,1.308648411,1.08889174,0.216406574,2.774649107,1.240409838,0.211046208,1.419564226,1.272168217,2.3005391,1.247350464,2.747581249,2.338617938,28.88753509,0.751746327,13.97369868,15.08459157,4.804800814,2.500347347,4.530149101,3.769417283,0.749134786,9.605004715,4.293927586,0.730578803,4.914106454,4.403865589,7.963777779,4.317953956,9.511303893,8.095595319
1,35,3,GM,G80R1,ILL7437,0.297237302,4.20366996,5.099818998,1.582863483,0.819753152,1.412523161,1.205508815,0.238383973,3.17360705,1.40011243,0.241649924,1.625348243,1.466147182,2.667811863,1.440216565,2.159059193,3.008536655,32.04224795,0.927641851,13.11914809,15.9159214,4.939926454,2.558350941,4.408314808,3.762247945,0.743967693,9.904445703,4.36958241,0.754160334,5.072516278,4.575668924,8.32591979,4.494742589,6.738163928,9.389280864
1,36,4,GM,G30R2,ILL2181,0.217619484,3.103343025,3.800204259,1.22749867,0.600667842,1.11480981,0.942535626,0.182250266,2.272813807,1.079445569,0.183672515,1.272908049,1.11159869,1.996656875,1.080945269,3.013724114,2.364604024,25.56529789,0.851229995,12.13888857,14.86469774,4.801425257,2.349543684,4.360636886,3.686777404,0.712881449,8.890230094,4.222307808,0.71844465,4.979046418,4.348076422,7.810027809,4.228173963,11.78833952,9.249272329
1,37,4,GM,G64R2,ILL5653,0.187417145,3.25203844,4.567917477,1.363891119,0.864048382,1.168437488,1.022030185,0.206898839,2.773854401,1.195651702,0.207876924,1.447949871,1.234358926,2.327648241,1.397850802,2.265667656,2.969514254,28.45305185,0.658689078,11.42948903,16.0542268,4.793479188,3.036751159,4.106545386,3.591987919,0.72715869,9.748881826,4.202191414,0.730596229,5.08890884,4.338230333,8.180662845,4.912832582,7.962828268,10.43654041
1,38,3,GM,G29R1,ILL1949,0.177780937,3.3494086,4.188423523,1.275829151,0.75417107,1.156648559,0.948524649,0.184703555,2.451376984,1.118728388,0.194223331,1.305902997,1.129545615,2.051517825,1.261975534,2.117820749,1.692025732,25.3586072,0.701067435,13.20817257,16.51677275,5.031148363,2.974024023,4.561167535,3.740444582,0.728366324,9.666843943,4.411631835,0.765906934,5.149742597,4.454288858,8.090025643,4.976517535,8.351486864,6.672392213
1,39,4,GM,G63R2,ILL5645,0.187578478,3.289645151,4.326700737,1.288867644,0.819642405,1.098848978,1.00613973,0.193511565,2.510399817,1.139470675,0.200730402,1.368732371,1.180075754,2.185804506,1.499024086,1.609901166,2.205426202,26.11049967,0.718402483,12.59893603,16.57073129,4.936204441,3.139129528,4.208456338,3.853391329,0.741125476,9.614522315,4.364032437,0.768772733,5.242076515,4.519544892,8.371362225,5.741077747,6.165723316,8.446510906
1,40,1,Control,STD1,Control,0.119914141,2.083627532,2.483541119,0.757778589,0.435620283,0.68102964,0.590661588,0.105144534,1.466943223,0.679169122,0.117213411,0.767754117,0.666637208,1.216188391,0.84691406,0.777684877,0.810342718,14.60616455,0.820983089,14.26539818,17.00337628,5.18807375,2.982441293,4.66261788,4.043919852,0.719864093,10.04331574,4.649879984,0.802492746,5.256370447,4.564081184,8.32654176,5.798333005,5.324360644,5.54795008
2,41,3,GM,G63R1,ILL5645,0.284805656,4.057242812,5.152532031,1.418258725,0.750557983,1.315059312,1.166055998,0.228057052,3.082457098,1.359361777,0.230274986,1.57750514,1.408857273,2.550239054,1.90983235,1.393275666,2.308021494,30.19239441,0.943302648,13.43796308,17.06566217,4.697403942,2.48591739,4.355597951,3.862085207,0.755346028,10.20938272,4.502331808,0.762692031,5.224842782,4.666265464,8.446627384,6.325541208,4.614657742,7.644380445
2,42,4,GM,G49R2,ILL4915,0.155015518,3.989912925,4.677583316,1.323496001,0.671388068,1.311242261,1.056570922,0.19487561,3.18512571,1.254832236,0.226243919,1.404058031,1.25313157,2.25676912,1.548706787,1.64806859,1.620730303,27.77775089,0.558056405,14.36370044,16.83931624,4.764590216,2.416999385,4.720476709,3.803659001,0.701552875,11.46646366,4.517400423,0.814478897,5.054613805,4.511278019,8.124376697,5.575349831,5.933052668,5.834634739
2,43,1,HT,H89R1,ILL5595,0.10250488,4.307936403,4.835248167,1.389630075,0.736130071,1.3426798,1.102935193,0.177421665,2.839150121,1.300434685,0.241872548,1.537543315,1.334816515,2.39908661,1.624094332,1.471381131,1.611719538,28.35458505,0.361510774,15.19308569,17.05279114,4.900900763,2.596158857,4.735318107,3.889794864,0.62572478,10.01301947,4.586329452,0.853027994,5.422556219,4.707586137,8.46101823,5.727801444,5.189217647,5.684158436
2,44,3,GM,G35R1,ILL3487,0.13689687,4.870894929,5.173707499,1.514918086,0.740895786,1.462513518,1.138461755,0.171617997,3.318904418,1.386750406,0.257434553,1.571996094,1.354641428,2.453935552,1.761145929,2.32398779,1.64989147,31.28859408,0.43752963,15.56763758,16.53544255,4.841758253,2.367942082,4.674270484,3.638583926,0.548500187,10.60739389,4.432127575,0.822774434,5.024182582,4.329505584,7.842907693,5.62871545,7.427587779,5.27314032
2,45,4,GM,G66R2,ILL6149,0.190162674,3.713983259,4.818090209,1.420272781,0.766149162,1.346206487,1.096111382,0.156822851,3.051187273,1.301652682,0.237958902,1.501818674,1.289902387,2.350668456,1.790505235,2.182166948,2.018574263,29.23223363,0.650523927,12.70509571,16.48211447,4.858584531,2.620905306,4.605212534,3.749666878,0.536472351,10.43774934,4.452799258,0.814029147,5.137543348,4.412602894,8.041357654,6.125105792,7.464934004,6.905302855
2,46,3,GM,G30R1,ILL2181,0.166790847,3.274266965,4.284358432,1.303857589,0.668999683,1.183378991,0.983562134,0.142440686,2.511721569,1.166363881,0.212837413,1.336296951,1.174566645,2.073182997,1.600916264,2.101804897,1.670061958,25.8554079,0.645090759,12.66376062,16.57045384,5.042881528,2.587465205,4.576910933,3.804086703,0.550912546,9.714492142,4.511102224,0.82318335,5.168346042,4.54282775,8.01837281,6.191804322,8.129072668,6.459236552
2,47,3,GM,G51R1,ILL5028,0.194326162,4.082670274,4.867281319,1.423830338,0.758755012,1.301060641,1.086241797,0.191103695,3.172911926,1.34463405,0.247032629,1.550415122,1.370260781,2.459787755,1.916885064,2.802260093,2.059939181,30.82939584,0.630327506,13.24278392,15.78779339,4.618417907,2.46114136,4.220195063,3.523396315,0.619874927,10.29183946,4.361532276,0.801289232,5.029015587,4.444656613,7.978708917,6.21771855,9.089571874,6.681737105
2,48,1,HT,BrewerR1,Brewer,0.177104403,3.346828788,4.262269242,1.276814638,0.646489631,1.130733361,0.996002264,0.149683073,2.584988463,1.197300374,0.219501207,1.379064903,1.246590781,2.190653642,1.501175629,1.856409642,1.784026396,25.94563644,0.682598029,12.89938983,16.427692,4.921115121,2.49170851,4.358086816,3.838804519,0.576910392,9.963095217,4.61465024,0.846004327,5.315209385,4.804625949,8.443244965,5.785850089,7.154997514,6.876017092
2,49,4,GM,G65R2,ILL5968,0.165552857,3.535432428,4.497056207,1.309500179,0.659295992,1.228712196,1.003769039,0.149631847,2.695560316,1.220282717,0.221512925,1.387680783,1.248810333,2.233000638,1.440784221,2.256517362,1.732357239,26.98545728,0.613489167,13.10125076,16.66473968,4.852614375,2.443152937,4.553238373,3.719666592,0.554490685,9.98893696,4.522001256,0.820860372,5.142328213,4.627716033,8.274829716,5.339113605,8.361975633,6.41959564
2,50,4,GM,G16R2,ILL702,0.142753703,4.974024605,5.121702983,1.460167973,0.729360272,1.499909789,1.148518194,0.181072875,3.266204149,1.44087106,0.265178691,1.627598253,1.456585447,2.607807414,1.593017273,2.580744887,1.776825868,31.87234344,0.447892083,15.60608374,16.06942707,4.581300951,2.288379809,4.70599155,3.603494661,0.568119114,10.24776906,4.52075657,0.83200249,5.106616199,4.570060717,8.18203851,4.998117808,8.097129388,5.574820288
2,51,4,GM,G34R2,ILL3485,0.202045801,4.755891924,5.112038419,1.461283567,0.734579911,1.384234474,1.152519899,0.168527378,3.654570933,1.429923572,0.257905463,1.547873367,1.408229139,2.462372268,1.718973038,2.55256857,2.406531251,32.41006897,0.623404415,14.67411849,15.77299457,4.508733283,2.26651758,4.271001321,3.556055064,0.519984632,11.27603565,4.411973246,0.795757217,4.775902724,4.345035921,7.59755331,5.303824066,7.875850471,7.425258036
2,52,2,HT,H140r2,ILL33104,0.196260283,4.311727248,4.982502718,1.544087375,0.723766774,1.342614779,1.07296366,0.143227412,3.332978117,1.330922721,0.240081358,1.484511141,1.338825119,2.388943998,1.833410003,2.405196777,2.171333976,30.84335346,0.63631305,13.97943727,16.15421852,5.006224038,2.346589112,4.353011681,3.478751626,0.464370426,10.80614701,4.315103812,0.778389284,4.813066591,4.340724885,7.7454094,5.944262855,7.798103991,7.039876448
2,53,3,GM,G53R1,ILL5261,0.172596921,4.64594414,5.256980287,1.526891652,0.735441523,1.422710492,1.085380012,0.180781614,3.548384428,1.436978455,0.269181278,1.623905709,1.494606831,2.674043246,2.01225065,2.519476485,2.214304233,32.81985796,0.525891737,14.1558935,16.01768141,4.65234083,2.240843102,4.334907524,3.30708321,0.550829971,10.81169953,4.378381091,0.820178071,4.947936433,4.553971053,8.147638084,6.131198534,7.676683087,6.746842829
2,54,3,GM,G1R1,ILL82,0.151094391,4.732680896,5.016206403,1.469143188,0.677374003,1.407034935,1.140505017,0.175785885,3.11606002,1.407243938,0.263210199,1.55423222,1.440894637,2.524085448,1.398475729,2.308873116,1.729594135,30.51249416,0.495188595,15.5106327,16.43984388,4.814890518,2.219988964,4.611340284,3.73782953,0.576111163,10.21240677,4.61202526,0.862630887,5.093756714,4.722310243,8.27230129,4.583288805,7.566976019,5.668478381
